Country,Exam board,Course,Content name,Starmast Link,Guide Title,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/lawsofindices.qmd,Laws of indices,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/rationalizingthedenominator.qmd,Rationalizing the denominator,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/introtoquadratics.qmd,Introduction to quadratic equations,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",,Binomial theorem(coming soon),,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",,Cubic Functions(coming soon),,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/introtoprobability.qmd,Introduction to probability,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/radians.qmd,Introduction to radians,,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/trigonometry-radians.qmd,Trigonometry (radians),,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/trigonometry-degrees.qmd,Trigonometry (degrees),,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/trigonometricidentities-radians.qmd,Trigonometric identities (radians),,
Australia,QCAA,Mathematical Methods,"Unit 1: Surds, algebra, functions and probability",./studyguides/trigonometricidentities-degrees.qmd,Trigonometric identities (degrees),,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/lawsofindices.qmd,Law of indices,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/solvingeqsindices.qmd,Solving exponential equations,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/logarithms.qmd,Introduction to logarithms,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/introtodifferentiation.qmd,Introduction to differentiation and the derivative,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/productrule.qmd,The product rule,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/chainrule.qmd,The chain rule,,
Australia,QCAA,Mathematical Methods,Unit 2: Calculus and further functions,./studyguides/quotientrule.qmd,The quotient rule,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./factsheets/f-rulesofcalculus.qmd,Factsheet: Rules of calculus,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./studyguides/introtodifferentiation.qmd,Introduction to differentiation and the derivative,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./studyguides/introtointegration.qmd,Introduction to integration,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./factsheets/f-commonderivatives.qmd,Factsheet: List of derivatives,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./factsheets/f-commonintegrals.qmd,Factsheet: List of integrals,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./studyguides/introtoprobability.qmd,Introduction to probability,,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./studyguides/pmfspdfscdf.qmd,"PMFs, PDFs, and CDFs",,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./studyguides/expectedvariance.qmd,"Expected value, variance, standard deviation",,
Australia,QCAA,Mathematical Methods,Unit 3: Further calculus and introduction to statistics,./overviews/o-distributions.qmd,Overview: Probability distributions,,
